dia,hora,intervalo,Simples,BD,BS,TD,TS,preco_pt,preco_es
01/01/2013,07:45,[07:30-07:45[,S,V,F,V,C,21.00,21.00
01/01/2013,08:00,[07:45-08:00[,S,V,F,V,C,21.00,21.00
01/01/2013,08:15,[08:00-08:15[,S,F,F,C,C,21.00,21.00
01/01/2013,08:30,[08:15-08:30[,S,F,F,C,C,21.00,21.00
01/01/2013,08:45,[08:30-08:45[,S,F,F,C,C,21.00,21.00
01/01/2013,09:00,[08:45-09:00[,S,F,F,C,C,21.00,21.00
01/01/2013,09:15,[09:00-09:15[,S,F,F,P,C,21.00,21.00
01/01/2013,09:30,[09:15-09:30[,S,F,F,P,C,21.00,21.00
01/01/2013,09:45,[09:30-09:45[,S,F,F,P,P,21.00,21.00
01/01/2013,10:00,[09:45-10:00[,S,F,F,P,P,21.00,21.00
01/01/2013,10:15,[10:00-10:15[,S,F,F,P,P,23.71,23.71
01/01/2013,10:30,[10:15-10:30[,S,F,F,P,P,23.71,23.71
01/01/2013,10:45,[10:30-10:45[,S,F,F,C,P,23.71,23.71
01/01/2013,11:00,[10:45-11:00[,S,F,F,C,P,23.71,23.71
01/01/2013,11:15,[11:00-11:15[,S,F,F,C,P,30.00,30.00
01/01/2013,11:30,[11:15-11:30[,S,F,F,C,P,30.00,30.00
01/01/2013,11:45,[11:30-11:45[,S,F,F,C,P,30.00,30.00
01/01/2013,12:00,[11:45-12:00[,S,F,F,C,P,30.00,30.00
01/01/2013,12:15,[12:00-12:15[,S,F,F,C,C,27.10,27.10
01/01/2013,12:30,[12:15-12:30[,S,F,F,C,C,27.10,27.10
01/01/2013,12:45,[12:30-12:45[,S,F,F,C,C,27.10,27.10
01/01/2013,13:00,[12:45-13:00[,S,F,F,C,C,27.10,27.10
01/01/2013,13:15,[13:00-13:15[,S,F,F,C,C,27.11,27.11
01/01/2013,13:30,[13:15-13:30[,S,F,F,C,C,27.11,27.11
01/01/2013,13:45,[13:30-13:45[,S,F,F,C,C,27.11,27.11
01/01/2013,14:00,[13:45-14:00[,S,F,F,C,C,27.11,27.11
01/01/2013,14:15,[14:00-14:15[,S,F,F,C,C,21.00,21.00
01/01/2013,14:30,[14:15-14:30[,S,F,F,C,C,21.00,21.00
01/01/2013,14:45,[14:30-14:45[,S,F,F,C,C,21.00,21.00
01/01/2013,15:00,[14:45-15:00[,S,F,F,C,C,21.00,21.00
01/01/2013,15:15,[15:00-15:15[,S,F,F,C,C,21.00,21.00
01/01/2013,15:30,[15:15-15:30[,S,F,F,C,C,21.00,21.00
01/01/2013,15:45,[15:30-15:45[,S,F,F,C,C,21.00,21.00
01/01/2013,16:00,[15:45-16:00[,S,F,F,C,C,21.00,21.00
01/01/2013,16:15,[16:00-16:15[,S,F,F,C,C,27.07,27.07
01/01/2013,16:30,[16:15-16:30[,S,F,F,C,C,27.07,27.07
01/01/2013,16:45,[16:30-16:45[,S,F,F,C,C,27.07,27.07
01/01/2013,17:00,[16:45-17:00[,S,F,F,C,C,27.07,27.07
01/01/2013,17:15,[17:00-17:15[,S,F,F,C,C,42.95,42.95
01/01/2013,17:30,[17:15-17:30[,S,F,F,C,C,42.95,42.95
01/01/2013,17:45,[17:30-17:45[,S,F,F,C,C,42.95,42.95
01/01/2013,18:00,[17:45-18:00[,S,F,F,C,C,42.95,42.95
01/01/2013,18:15,[18:00-18:15[,S,F,F,P,C,46.06,46.06
01/01/2013,18:30,[18:15-18:30[,S,F,F,P,C,46.06,46.06
01/01/2013,18:45,[18:30-18:45[,S,F,F,P,P,46.06,46.06
01/01/2013,19:00,[18:45-19:00[,S,F,F,P,P,46.06,46.06
01/01/2013,19:15,[19:00-19:15[,S,F,F,P,P,50.00,50.00
01/01/2013,19:30,[19:15-19:30[,S,F,F,P,P,50.00,50.00
01/01/2013,19:45,[19:30-19:45[,S,F,F,P,P,50.00,50.00
01/01/2013,20:00,[19:45-20:00[,S,F,F,P,P,50.00,50.00
01/01/2013,20:15,[20:00-20:15[,S,F,F,P,P,58.11,58.11
